,business_id,name,categories,stars,review_count,latitude,longitude,postal_code,init_cluster,cluster
5811,41W2XwM6pnDR92Yw9v2QxQ,Mumbo Gumbo PDX -Sellwood,"Soul Food, Soup, Restaurants, Seafood, Food, Food Trucks, Cajun/Creole",5.0,174,45.4777812022,-122.6488767564,97202.0,1,9
6386,N9R_-doLaCivKmAEACtSEg,Tehuana Oaxacan Cuisine,"Mexican, Restaurants, Food Trucks, Food",5.0,173,45.5628553,-122.6809901,97217.0,0,6
6274,AB4Gjd7DCLe2jYw7dawAzw,MF Tasty,"Spanish, Food, Restaurants, Food Trucks, Mexican",5.0,172,45.551375,-122.666847,97227.0,0,6
4352,SgsL7STWFq1TKRn3UF-Hlw,Creo Chocolate,"Food, Chocolatiers & Shops, Candy Stores, Hotels & Travel, Food Tours, Tours, Ice Cream & Frozen Yogurt, Specialty Food",5.0,170,45.534992,-122.664085,97232.0,0,1
5989,5xsFt28xPFvncAV6BVuVxg,Cully Central,"Asian Fusion, Bars, Nightlife, Restaurants, Beer Bar, Beer Gardens, American (New), Sports Bars, Food Court",5.0,162,45.5565615,-122.6002533,97218.0,2,8
5313,a-_h91FBXJs8sc-JIMuuAA,La Perlita,"Coffee & Tea, Food",5.0,159,45.5282302,-122.6805804,97201.0,0,1
3459,jyCwli8cDwQDlFgzAm_cyg,Half Pint Cafe,"Coffee & Tea, Food, Restaurants, Cafes, Bagels, Coffee Roasteries",5.0,157,45.5217438,-122.6600553,97214.0,0,1
1035,7b9FxHuXKEd7krK4TZ-ycg,Akadi PDX,"Seafood, Restaurants, Caterers, Salad, Food Delivery Services, Event Planning & Services, Food, African",5.0,151,45.5490338,-122.6618552,97212.0,0,6
4811,rdYgIHAQ6lssSd1Q00A1jQ,Zaap Thai,"Restaurants, Bars, Vegan, Nightlife, Vegetarian, Cocktail Bars, Thai, American (Traditional)",5.0,147,45.5485164,-122.6618658,97212.0,0,6
5465,Fa3wMoHKtWJfP90FEGmYLg,El Pilón,"Latin American, Food, Gluten-Free, Colombian, Restaurants, Food Trucks",5.0,147,45.520654,-122.6731224,97204.0,0,1
1732,67tmRdjfUotIrG56mTDyOw,All About You Luxury Wine Tours,"Food, Bed & Breakfast, Airlines, Wineries, Airports, Limos, Hotels & Travel, Wine Tours, Tours, Resorts, Arts & Entertainment, Taxis, Transportation, Airport Shuttles",5.0,142,45.4618085116,-122.7181904018,97219.0,3,5
294,JsEwlEUZvxAmbffj-mpZHg,The Fried Onion,"Food Stands, Restaurants, Hot Dogs",5.0,141,45.518064,-122.662952,97214.0,0,1
7094,VPRJKxUGHn4fQO4qnClyAQ,Love Belizean,"Restaurants, Caribbean, Latin American",5.0,135,45.5138504248,-122.6828909866,97201.0,0,1
6091,beansf7SObVLCb1qvjgRFQ,Supernova Vegan,"Vegan, Restaurants, Food, American (Traditional), Gluten-Free, Food Trucks",5.0,121,45.4669717,-122.6531545,97202.0,1,9
5319,Jco6bHFGluNwZY1ZhViyXQ,Jurassic Cart,"Food, Restaurants, Food Stands, American (Traditional), Food Trucks, Vegan, Salad, Gluten-Free",5.0,117,45.4959139492,-122.608949531,97206.0,1,0
3423,UOwcwNqRDkxxbDTU450zoQ,Long Do Thai Food Cart,"Thai, Food Trucks, Food, Restaurants",5.0,114,45.5706784,-122.681777,97217.0,0,6
445,MgEpTPU2HpWsNCRtX0ou0Q,Thai Yummy,"Street Vendors, Restaurants, Food, Thai, Food Trucks",5.0,113,45.4990733,-122.6904574,97239.0,0,1
5452,PyeN_l2lpRYlIVKHu_iUPQ,Missionary Chocolates,"Restaurants, Desserts, Vegan, Chocolatiers & Shops, American (New), Food, Specialty Food",5.0,113,45.5264577,-122.6378923,97232.0,1,2
1938,itqW3t8LhYjWvjZDf-HkhQ,Oracle Coffee Company,"Food, Bakeries, Vegan, Coffee & Tea, Internet Cafes, Coffee Roasteries, Restaurants",5.0,108,45.495169,-122.67093,97239.0,0,1
4381,Tzuf9hwyB9WR5ba3xMmy4Q,Promise Land Cafe,"Restaurants, Food, Mediterranean, Salad, Coffee & Tea, Seafood",5.0,108,45.5485076,-122.6618658,97212.0,0,6
1238,HeJXYWOcyDN-3aqGO7qDqQ,Pairings Portland Wine Shop & Bar,"Food, Local Flavor, Adult Education, Event Planning & Services, Bars, Arts & Entertainment, Wineries, Wine Tasting Classes, Beer, Wine & Spirits, Education, Wine Bars, Nightlife, Tasting Classes, Party & Event Planning",5.0,106,45.5262518,-122.6416661,97232.0,1,2
5606,32nZlsE397YZeE8ZPXWD3g,Malka,"Latin American, Restaurants, American (New)",5.0,105,45.505146,-122.615143,97206.0,1,2
6599,xdbNX18btjEa4p1hHunQ_w,Everybody's Bike Rentals & Tours,"Tours, Sporting Goods, Bikes, Bike tours, Hotels & Travel, Shopping, Historical Tours, Active Life, Food Tours, Bike Rentals",5.0,102,45.5578331,-122.6623625,97211.0,0,6
6047,bYzIhd_6RVI5Z4n-sZIWwg,Hit the Spot!,"Food Trucks, Food, Fast Food, Burgers, Restaurants, Ice Cream & Frozen Yogurt",5.0,101,45.539263,-122.6133463,97213.0,1,8
6746,dniQomQgXyJwkCYdwLhtPA,Lovejoy's Tea Room,"British, Restaurants, Coffee & Tea, Tea Rooms, Food",5.0,101,45.5625321,-122.6309432,97211.0,0,6
3805,6qlWc-OVhTQfcyVi3j4onw,Bake on the Run,"Food Trucks, Food",5.0,100,45.512793,-122.6548724994,97214.0,0,2
1313,-IXYs7M45p0jjWDd-1TONg,Casa Zoraya,"Peruvian, Restaurants",5.0,99,45.577445,-122.6757309,97217.0,0,6
6310,xDOjijlodmlwjCcFOX-Ysg,JinJu Patisserie,"Desserts, Bakeries, Chocolatiers & Shops, Specialty Food, Food, Restaurants, Sandwiches",5.0,98,45.5529624,-122.666962,97227.0,0,6
1840,UP0xMdjjJJFLUSVlv_BdqQ,Eat Adventures Food Tours,"Hotels & Travel, Food Tours, Walking Tours, Bus Tours, Tours",5.0,94,45.5171394,-122.6811194,97205.0,0,1
3867,AfH2N4zDX4Xo924wc-wddg,Tamago Bros,"Food, Restaurants, Food Trucks, Food Stands, Japanese, Filipino",5.0,89,45.519977,-122.674375,97204.0,0,1
4670,XMCauC2jKvrsQfjYyfgtmw,Pixie Retreat - Pearl,"Live/Raw Food, Soul Food, Restaurants, Vegan, Vegetarian",5.0,88,45.5262464514,-122.682054737,97209.0,0,1
890,E1yKt_hdz-bQHpsyKy17Jw,Kind Coffee,"Coffee & Tea, Restaurants, Food, Food Stands",5.0,87,45.516674,-122.618472,97215.0,1,2
243,OkZ5kiqsOnKJMXQIvEUQ4w,The Pleasant Peasant,"Food, Middle Eastern, Food Trucks, Vegetarian, Lebanese, Mediterranean, Vegan, Restaurants",5.0,86,45.5127908,-122.6548734,97214.0,0,2
950,wkMtJhdSDWPuBfiyz5BFgQ,Birrieria La Plaza,"Food Trucks, Restaurants, Tacos, Mexican, Food",5.0,86,45.518982,-122.512881,97233.0,2,4
6414,8PT7WurChS_Xtd4tn3g39Q,Dinger's Deli,"Food, Sandwiches, Restaurants, Delis, Acai Bowls, Food Trucks, Vegan",5.0,86,45.5168317,-122.6184734,97215.0,1,2
1099,sH-aYKTMVQ8TN7_wv7tr5A,Hurry Back Ice Cream,"Food Trucks, Food, Ice Cream & Frozen Yogurt",5.0,85,45.467275,-122.653168,97202.0,1,9
1907,uO3pPWShdpefHeivsPL3WA,Bundy's Bagels,"Sandwiches, Bagels, Street Vendors, Food Trucks, Food, Food Delivery Services, Restaurants",5.0,85,45.5124091,-122.631174,97214.0,1,2
1069,pG-PyLwPzwzC46Trup8icA,Rocket Breakfast,"Food, Food Stands, Breakfast & Brunch, Food Trucks, Restaurants",5.0,83,45.5404423177,-122.6091894507,97213.0,1,8
4330,9YMMWKRN3Cmfvb21uSZgQA,Nodoguro,"Shopping, Pop-up Shops, Restaurants, Sushi Bars, Japanese",5.0,83,45.5162702,-122.6363199,97214.0,1,2
5938,jbFsyGwSVF4Z4P8IHcGTvA,Division Wines,"Nightlife, Beer, Wine & Spirits, Food, Bars, Wine Bars",5.0,82,45.504689052,-122.6270696033,97214.0,1,2
1503,PjQRlLuWtkvyFrSSu_-dAg,The Meddling Lime,"Restaurants, Food Trucks, Food, Mexican",5.0,80,45.4779894,-122.6488636,97202.0,1,9
2941,5WfI4LE-uzDScoVBWvwGXw,Straits Kitchen,"Food, Food Trucks, Malaysian, Restaurants",5.0,77,45.4640955,-122.6545646,97202.0,1,9
2339,h3Nmq44WrQulpABbl7GG5Q,Uncle Tsang's Kitchen,"Food, Chinese, Food Stands, Restaurants, Vegetarian, Taiwanese",5.0,76,45.464098,-122.654566,97202.0,1,9
2502,nmA7jGnvcdM13Fltwh_iug,Mississippi's Delta BBQ,"Caterers, Event Planning & Services, Restaurants, Food, Food Trucks, Food Stands, Barbeque",5.0,76,45.5529648,-122.6813418,97227.0,0,6
1210,OSI7ujGoOcuVe9e1LmE3Xg,His Bakery,"Restaurants, Bakeries, Food, Desserts",5.0,75,45.479242,-122.589583,97206.0,1,0
1371,QjN7LFZ7zU4xmdl42nFuYg,Taqueria Los Puñales,"Mexican, Restaurants",5.0,75,45.5163199,-122.6306028,97214.0,1,2
3105,Wq22GVl_XTbn522eYSGjRQ,Green Clean by G,"Do-It-Yourself Food, Home Cleaning, Window Washing, Personal Chefs, Food, Home Services, Home Organization, Event Planning & Services",5.0,71,45.5231104584,-122.6389154,97214.0,1,2
2288,7m6g99GbgV2KFkWXjulmfw,The Eisenhower Bagelhouse,"Coffee & Tea, Breakfast & Brunch, Restaurants, Bagels, Food",5.0,67,45.551961,-122.6805929,97217.0,0,6
2687,YzmrzMOGC6OCT3llXqxDdw,Rendez Vous off Belmont,"Restaurants, Bars, Nightlife, Sandwiches, Breakfast & Brunch, Cocktail Bars, Salad, Cafes, Mediterranean",5.0,66,45.5168551408,-122.6296671405,97214.0,1,2
2078,ohIUSqYbZLP7FFTloI4APQ,Communion Bakehouse,"Burgers, Restaurants, Food, Sandwiches, Pizza, Bakeries, Cafes, Breakfast & Brunch, Nightlife, Beer Gardens",5.0,63,45.4782996,-122.6490487,97202.0,1,9
2248,wHFHILyv-l_TpsfEAwIxrg,VilleVelo Bake Shop,"Food, Bakeries",5.0,60,45.5557287,-122.6503926,97211.0,0,6
3484,_ci9t9Uy98MEkvwNaMpILA,El Coyote,"Restaurants, Food, Tex-Mex, Food Trucks, Mexican",5.0,60,45.5935904269,-122.7349511906,97203.0,3,7
3614,DOmaxLcwoKfNLNGkCciOHQ,Nana's Guilty Pleasures,"Comfort Food, Cafes, Breakfast & Brunch, Restaurants, Food, American (Traditional), Sandwiches, Coffee & Tea, Food Stands, Salad, Food Trucks",5.0,60,45.4784804,-122.648997,97202.0,1,9
7035,fzvCqlK5BSmB9DN4Csh6CQ,Baka Umai,"Food, Japanese, Restaurants, Asian Fusion, Ramen, Coffee & Tea, Noodles",5.0,60,45.5123033,-122.6139697,97214.0,1,2
632,Yok2NYHlWGn5Wj8HXshmmA,L’unico Alimentari,"Food, Food Trucks, Italian, Restaurants",5.0,59,45.5360828,-122.6669223,97227.0,0,1
1053,swOhj4eTkVbj53UoT9BQOg,Fine Goose,"Food, Food Stands, Restaurants, French, Food Trucks",5.0,58,45.559285,-122.648954,97211.0,0,6
561,3BRNu8M9c8HkfkbKqpnWzQ,Garagiste Wine Bar,"Desserts, Wine Tasting Room, Food, Arts & Entertainment, American (New), Nightlife, Wine Bars, Pubs, Gastropubs, Wineries, Restaurants, Bars, Salad",5.0,57,45.5627795,-122.679831,97217.0,0,6
4870,2uc3wphVZgESCtuGseyHow,La Puerta Salvadorian cuisine,"Salvadoran, Latin American, Food Trucks, Food, Restaurants",5.0,57,45.56286349,-122.6809070259,97217.0,0,6
4871,1oEoAtpZaOaTB8VbOjJqmg,Bella's Cravings,"Armenian, Food, Mediterranean, Food Trucks, Restaurants",5.0,57,45.5629014,-122.6589565,97211.0,0,6
170,NR-WUtI4OgACl95P14FBYQ,Greek Express,"Falafel, Middle Eastern, Lebanese, Restaurants, Greek, Mediterranean",5.0,56,45.5169375,-122.6753653,97204.0,0,1
3487,hMmIRQjcYaBla5G6b7eZtQ,Chochu Local,"Barbeque, Food Trucks, Guamanian, Food, Restaurants, Food Stands",5.0,56,45.5404852,-122.6093559,97213.0,1,8
4591,ECIJzSmAJWLiZ0dNNOE7kw,Chef Berk,"Local Flavor, Personal Chefs, Food, Event Planning & Services, Caterers",5.0,56,45.5127241,-122.6630883,97204.0,0,1
5206,86w8qN8zIRqimOuaSYKEYA,Yoshi’s Sushi,"Sushi Bars, Food, Food Trucks, Restaurants",5.0,56,45.4669579,-122.713535,97219.0,0,5
1098,qYHAmi5mK-M0O_VGWCVZug,Sisters Ethiopian Restaurant,"Restaurants, Ethiopian",5.0,55,45.5110036116,-122.5372274593,97233.0,2,4
1568,Gqg7DC0qvIn2U9TDQWExOQ,Fenrir,"Diners, Wine Bars, Restaurants, Bars, Modern European, Specialty Food, Nightlife, American (New), Food",5.0,55,45.5085247,-122.6548574,97214.0,0,2
2068,-vVzKNaf0bTeIErA2VFwyQ,Secret Pizza Society,"Pizza, Salad, Vegan, Restaurants, Event Planning & Services, Caterers",5.0,55,45.5266701,-122.5884152,97213.0,2,8
4195,Tv2GTrceU6W0YGIBkpLtvQ,White Pepper,"Caterers, Pop-Up Restaurants, Restaurants, Event Planning & Services",5.0,55,45.5266964,-122.5855712,97213.0,2,8
5787,PovmZV8Bolu2BizxN2d9Zg,Bluefin Tuna & Sushi,"Sushi Bars, Restaurants",5.0,55,45.5351449,-122.6516198,97232.0,0,2
841,HuXjy-2f6zSWEddSQBoZ4Q,Bari Food Cart,"Food Stands, Food Trucks, Italian, Food, Restaurants",5.0,54,45.4957639,-122.6084655,97206.0,1,0
4183,0uFDVAarOgF8aaqjkM2J3Q,Eggy Pocket,"Food Trucks, Food, Breakfast & Brunch, Chinese, Taiwanese, Restaurants",5.0,54,45.5211284,-122.6807755,97205.0,0,1
1765,MDliMO8b-yLlcn9gXEX6tg,Little Red's Bakeshop & Café,"Coffee & Tea, Food, Bakeries",5.0,53,45.52061,-122.6867096,97205.0,0,1
6366,4CthkFabjE8MQiw8cX6H7A,Kitchen Dances,"Vegetarian, Food Stands, Vegan, Restaurants",5.0,53,45.516551,-122.6177994,97214.0,1,2
7126,6IHCIUFYd1-hLaTMwY9V6A,La Osita,"Street Vendors, Restaurants, Mexican, Food, Coffee & Tea",5.0,53,45.5117285788,-122.5380010921,97233.0,2,4
924,RCiDqkIHatRlB5GFN0dilQ,Bar Botellón,"Nightlife, Cocktail Bars, Food, Pubs, Cideries, Beverage Store, Bars, Tapas Bars, Whiskey Bars, Beer, Wine & Spirits, Wine Bars, Beer Bar, Restaurants",5.0,52,45.5243476,-122.6596187,97232.0,0,1
3149,BAqqqYJylhhVNqU5NRHOZA,Baby Blue Woodfired Pizza,"Vegetarian, Food Trucks, Pizza, Food, Vegan, Restaurants",5.0,51,45.512267,-122.6323559,97214.0,1,2
3503,-b920SN08LxgF_sM_Ta7IQ,Elemental Mixology,"Special Education, Beer, Wine & Spirits, Food, Education, Bars, Adult Education, Bartending Schools, Specialty Schools, Nightlife, Cocktail Bars",5.0,51,45.5293224,-122.5793365,97213.0,2,8
100,vutqSSGHZUxPKhfJWdckug,South,"Food Trucks, Restaurants, Southern, Food",5.0,49,45.519926,-122.656011,97214.0,0,2
380,6Y_S0K_4gHN3QhNWZUMmEw,In J Coffee,"Coffee Roasteries, Coffee & Tea, Restaurants, Food, Sandwiches, Bakeries, Breakfast & Brunch",5.0,49,45.5146338,-122.6842724,97201.0,0,1
3167,RELtAeMWPo0hMo12n7DkJQ,Flourish Plant-Based Kitchen,"Restaurants, Food, Food Trucks, Vegan, Gluten-Free",5.0,49,45.5875709,-122.7423628,97203.0,3,7
6020,CZxxJPCMd9n3Sm_Z54FRTg,Fatsquatch PDX,"Vegan, Food Stands, Food, Food Trucks, Restaurants, Southern",5.0,49,45.5611301753,-122.6202686504,97214.0,1,8
6590,79QoF_600A1E-Ad8jnVkOg,Devin's Dive,"Nightlife, Food Trucks, Bars, Vegan, Gluten-Free, Food, Dive Bars, Restaurants",5.0,49,45.4641199,-122.6546679,97202.0,1,9
6261,DfHHrbGec_ncBVguFD-Hgg,Taste Of Casablanca,"Restaurants, Moroccan, Food, Food Trucks, Mediterranean",5.0,48,45.464105,-122.6545646,97202.0,1,9
3357,G7ZTZ5hnKb-Ng0VJyGxm7A,Little Bloom Lao & Thai Cuisine,"Restaurants, Food Court, Food, Food Trucks, Laotian, Thai",5.0,47,45.548037,-122.6758067,97227.0,0,6
3881,jdQ7o9ad8AAIadqTJUD4XQ,Eb & Bean,"Ice Cream & Frozen Yogurt, Food",5.0,47,45.5275162,-122.6945844,97209.0,0,1
2396,TtyBItYez5xct5gfwIT5_Q,Korita Sabor Casero,"Salvadoran, Food, Restaurants, Latin American, Mexican, Food Trucks",5.0,46,45.565127,-122.661413,97211.0,0,6
4659,RZEEoKF4odsIg_GV70xD_Q,Union Burger,"Restaurants, Food Trucks, Food, Burgers",5.0,46,45.5763354,-122.6616957039,97211.0,0,6
2622,BIzDqXXvPgW0tIa_sdF7NQ,Wild Roots Vodka,"Food, Distilleries",5.0,45,45.5231184,-122.6613971,97232.0,0,1
3832,RHwQK4TMvdd8ye64e4SovA,Fullerton Wines,"Arts & Entertainment, Wine Tasting Room, Food, Wineries, Nightlife, Bars, Wine Bars, Restaurants, American (New)",5.0,45,45.5325036,-122.6922622,97209.0,0,1
2081,KLRigTpt_SSNp08KBVvV0A,Snappy’s,"Chicken Wings, Salad, Sandwiches, Restaurants, American (Traditional)",5.0,44,45.5223536,-122.6594236,97214.0,0,1
4629,aNqYMg7qOTZpqxnoQJnDlQ,Dinner Bell BBQ,"Food, Food Trucks, Barbeque, Restaurants",5.0,44,45.5262056,-122.6170423,97213.0,1,2
1337,VZaMg45-TXrrvWnor3dN3w,Unicorn Bake Shop,"Cupcakes, Food, Bakeries, Custom Cakes",5.0,43,45.493363,-122.6371272,97202.0,1,2
1378,wvaBboPaTlnICaQ_GhyjyQ,Wine Tours Northwest,"Tours, Wine Tours, Hotels & Travel, Wineries, Food, Arts & Entertainment",5.0,43,45.54531,-122.8392111,97229.0,3,3
2547,IGeY8YKOT7bmqwCXaBCwQA,Saint Burrito,"Food Trucks, Restaurants, Mexican, Food, New Mexican Cuisine, Food Stands, Vegetarian",5.0,43,45.521791,-122.6375755,97214.0,1,2
99,i8yp39dEJ43Y2JroMXAy5w,Papa Lee's Kitchen,"Food Trucks, Food, Restaurants, Food Stands, Street Vendors",5.0,42,45.4642245,-122.6544946,97202.0,1,9
5786,f-GJjouywWXVs5uJ2sGkmA,Spunky Monkey Coffee Kitchen,"Coffee & Tea, Sandwiches, Bagels, Restaurants, Food",5.0,42,45.4677275852,-122.6937739179,97219.0,0,9
1776,3ZcksUCfKGneyZkXGAmckA,Pixie Retreat Raw'r Laboratorie & Makery,"Specialty Food, Restaurants, Live/Raw Food, Vegetarian, Vegan, Food",5.0,40,45.5110677127,-122.6626858006,97214.0,0,1
435,eRx5HTVhaRq71zLqQYsotA,Jook Joint,"Restaurants, Asian Fusion, Food Trucks, Food, Barbeque",5.0,39,45.5211177,-122.681491,97205.0,0,1
444,h030FOSoiGNFEMvZbFZ33Q,Pedalounge,"Food, Hotels & Travel, Breweries, Tours",5.0,39,45.5053504,-122.6535049,97214.0,1,2
5965,nVoEe0RufEea2kQyKMh2Eg,Taco Express,"Restaurants, Mexican, Food Trucks, Food",5.0,39,45.4844674,-122.6392117,97202.0,1,9
5966,bFWfo2D1nXc-J4vFqKvm1Q,Botto's Bbq,"Salad, Food, Sandwiches, Food Trucks, Caterers, Specialty Food, Restaurants, Meat Shops, Event Planning & Services, Barbeque",5.0,39,45.5381531,-122.6973415,97201.0,0,1
6794,03kruYCXHxj097eicu-3Cw,Nacheaux,"Mexican, Food Stands, Soul Food, Restaurants",5.0,39,45.4636025,-122.5796078,97266.0,1,0
4042,oUvubZ-TWm6y0KSsdmMfnQ,A Wing and A Prayer,"Restaurants, Food, Street Vendors, Soul Food",5.0,38,45.5560473,-122.6009131,97218.0,2,8
4091,ykAjTUNGJawP9ZaYRBJtHg,Carnelian Coffee,"Internet Cafes, Coffee Roasteries, Food, Coffee & Tea",5.0,38,45.4878591,-122.5920402,97206.0,1,0
6130,cbA85P5dzzGtD3xT9H2irw,Fly Awake PDX,"Vegetarian, Local Flavor, Restaurants, Coffee & Tea, Tea Rooms, Food",5.0,38,45.5497448208,-122.6760389729,97227.0,0,6
345,Md54AD4blgW1OZBaY2l22g,Third Wave Coffee Tours,"Tours, Coffee & Tea, Hotels & Travel, Food",5.0,37,45.516964,-122.6732897,97204.0,0,1
700,dNGJuDQFsmSU6ubh9YRT8w,Don Jalapeño,"Restaurants, Food Trucks, Mexican, Food",5.0,37,45.5200193805,-122.6744606522,97204.0,0,1
3339,90xcGIXXaOOttO4r6JnWGA,TeaScape,"Beauty & Spas, Health & Medical, Tea Rooms, Massage, Massage Therapy, Food",5.0,37,45.5123849,-122.6513586,97214.0,0,2
1634,XpOsehH1BjC5nkGzgU0yIw,Cedar Mill Liquor & Cigar,"Food, Beer, Wine & Spirits",5.0,36,45.5269115403,-122.8161198908,97229.0,3,3
2780,CvPGQLz2wIZw9oP1E8WopA,Azar Indulgences,"Food, Specialty Food, Chocolatiers & Shops",5.0,36,45.5215799,-122.6745304,97204.0,0,1
4571,LhrEjOKmKskOhALtxd2njg,6Tusks Asian Fusion,"Restaurants, Food, Food Trucks, Asian Fusion, Laotian",5.0,36,45.46365,-122.57959,97266.0,1,0
1073,g_flFWsX8EA9PbzJ9VRCvQ,Selena's Custom Kitchen,"Food, Food Trucks, Soul Food, Restaurants, Seafood",5.0,35,45.555248,-122.528093,97230.0,2,4
4044,FBhMWG7rBwf7pqWEWH5cZQ,Urban Crush,"Arts & Entertainment, Wine Tasting Room, Wineries, Bars, Tapas/Small Plates, Wine Tours, Tours, Lounges, Restaurants, Food, Hotels & Travel, Wine Bars, Nightlife",5.0,35,45.5082821,-122.6590831,97214.0,0,2
5523,zcj9-4j4C-tOEG08koniKw,Feed The Mass,"Arts & Crafts, Cooking Schools, Food, Educational Services, Cooking Classes, Event Planning & Services, Shopping, Personal Chefs, Education, Specialty Schools, Food Banks, Community Service/Non-Profit, Team Building Activities, Local Services, Venues & Event Spaces, Party & Event Planning",5.0,35,45.5710358,-122.6346343,97211.0,0,6
6497,sL6-8ouSadOpMDpcGt13mQ,Ota Tofu,"Food, Health Markets, Specialty Food",5.0,35,45.519113,-122.6572896,97214.0,0,2
2274,00-EOeq-gRkenfuQ9WVzuw,We Are Baked,"Desserts, Food, Bakeries",5.0,34,45.4636025,-122.5796078,97266.0,1,0
5148,0-ToVc_rvDYKAjNQVAGJwA,Ricos Burritos,"Mexican, Food, Restaurants, Food Trucks, Street Vendors",5.0,34,45.5567401216,-122.6752150985,97217.0,0,6
86,67WxRl0uNZMPO573sBOffw,Woodblock Chocolate,"Food, Chocolatiers & Shops, Specialty Food",5.0,33,45.5352945,-122.648606,97212.0,0,2
1487,iglWS4UQqlpwqUvTR1Zxbw,Stone Cottage,"Tea Rooms, Cosmetics & Beauty Supply, Specialty Food, Food, Herbs & Spices, Coffee & Tea, Beauty & Spas, Grocery, Shopping",5.0,33,45.4605303,-122.6472232,97202.0,1,9
2845,DpHfLhznV0fV8NFltJsAqg,Happy Day Juice,"Juice Bars & Smoothies, Gluten-Free, Food, Vegan, Restaurants",5.0,33,45.5484561,-122.6162714,97213.0,1,8
4894,uyR3_ImJuKVC5XbLWCrFAg,Homegrown Smokehouse and Deli,"Food, Barbeque, Restaurants, Smokehouse, Delis, Vegan",5.0,33,45.5177067,-122.6909607,97201.0,0,1
2086,dL9sv0Ste_uTAX7JQDOjCA,Pho 503,"Restaurants, Vietnamese",5.0,32,45.5101301,-122.6843411,97201.0,0,1
7038,ZFQLgF7U9f5btsfRarBHaw,Stone Barn Brandyworks,"Distilleries, Beer, Wine & Spirits, Food",5.0,32,45.4990206,-122.6469154,97202.0,1,2
906,DG8jRdPF4YxI_CESoF8KqA,Bluebird Thai ,"Food, Restaurants, Thai, Food Trucks, Comfort Food, Asian Fusion",5.0,31,45.46696,-122.713536,97219.0,0,5
982,Tc9jiT5LnAVldHvjfvXtDw,The Coffee Shop,"Coffee & Tea, Restaurants, Breakfast & Brunch, Food, Juice Bars & Smoothies, Beer, Wine & Spirits",5.0,31,45.4856481168,-122.74987,97225.0,3,5
1353,dX_U9fIjw0ArdPhIIJZfwg,The Chamber at 9900,"Bars, Restaurants, Lounges, American (New), Nightlife, Cigar Bars",5.0,31,45.4931323643,-122.7779307349,97225.0,3,5
